0, 39.9335663318634,			1.3223,1.3238,1.3243,1.3229,1.3199,1.3245,0.0014
1, 39.9335663318634,			1.3218,1.3169,1.3157,1.3253,1.3208,1.3175,-0.0057
2, 39.9335663318634,			1.3261,1.3103,1.3266,1.3146,1.3183,1.3202,0.006
3, 39.9335663318634,			1.2864,1.3504,2.7474,-0.1022,1.3007,1.2915,0.0508
4, 39.9335663318634,			-0.0014,-2.7468,1.3207,1.3197,1.3206,1.3216,-0.0047
5, 39.9335663318634,			-4.0667,1.3168,1.3226,1.3245,1.3211,1.3149,0.0005
6, 39.9335663318634,			1.3216,1.3283,1.3157,1.321,1.3292,1.3058,-0.0102
7, 39.9335663318634,			-5.511,4.0157,-1.3396,4.0295,-1.2138,2.539,-0.0054
0, 41.97181057929993,			1.3172,1.3238,1.3243,1.3229,1.3199,1.3245,0.0014
1, 41.97181057929993,			1.3218,1.322,1.3106,1.3253,1.3208,1.3227,-0.0006
2, 41.97181057929993,			1.321,1.3154,1.3266,1.3095,1.3234,1.3202,0.0009
3, 41.97181057929993,			1.2915,1.3504,2.7474,-0.0971,1.3007,1.2864,0.0559
4, 41.97181057929993,			-0.0065,-2.7418,1.3156,1.3248,1.3206,1.3165,0.0004
5, 41.97181057929993,			-4.0718,1.3219,1.3226,1.3245,1.3211,1.32,0.0005
6, 41.97181057929993,			1.3216,1.3232,1.3208,1.321,1.3241,1.3059,-0.0051
7, 41.97181057929993,			-5.4853,4.0208,-1.3396,4.0295,-1.2138,2.5339,-0.0003
0, 44.1689133644104,			1.3275,1.3187,1.3243,1.328,1.3148,1.3245,0.0014
1, 44.1689133644104,			1.3218,1.322,1.3106,1.3253,1.3208,1.3176,0.0045
2, 44.1689133644104,			1.3211,1.3205,1.3266,1.3146,1.3234,1.3151,0.0009
3, 44.1689133644104,			1.2915,1.3504,2.7423,-0.1022,1.3007,1.2864,0.061
4, 44.1689133644104,			-0.0014,-2.7468,1.3207,1.3248,1.3206,1.3216,-0.0047
